1,1,2001 Buyer St Riverside CA,Shipped,TRACK000001
2,4,2004 Buyer St Riverside CA,Delivered,TRACK000002
3,7,2007 Buyer St Riverside CA,Pending,
4,10,2010 Buyer St Riverside CA,Shipped,TRACK000004
5,13,2013 Buyer St Riverside CA,Delivered,TRACK000005
6,16,2016 Buyer St Riverside CA,Pending,
7,19,2019 Buyer St Riverside CA,Shipped,TRACK000007
8,22,2022 Buyer St Riverside CA,Delivered,TRACK000008
9,25,2025 Buyer St Riverside CA,Pending,
10,28,2028 Buyer St Riverside CA,Shipped,TRACK000010
11,31,2031 Buyer St Riverside CA,Delivered,TRACK000011
12,34,2034 Buyer St Riverside CA,Pending,
13,37,2037 Buyer St Riverside CA,Shipped,TRACK000013
14,40,2040 Buyer St Riverside CA,Delivered,TRACK000014
